Universitas 17 Agustus 1945 Surabaya,Teknik Sipil,S2,07,1064/SK/BAN-PT/Ak-PPJ/M/II/2021,2021,B,2025-12-30,Masih berlaku
Politeknik Negeri Bandung,Teknik Listrik,D-III,PTN,4503/SK/BAN-PT/Akred/Dipl-III/XI/2019,2019,A,2024-11-12,Masih berlaku
Institut Pertanian Bogor,Paramedik Veteriner,D-III,PTN,4632/SK/BAN-PT/Akred/Dipl-III/XII/2019,2019,A,2024-12-03,Masih berlaku
Universitas Lampung,Pendidikan Ekonomi,S1,PTN,3426/SK/BAN-PT/Akred/S/IX/2019,2019,B,2024-09-10,166 hari lagi kadaluarsa
Universitas Hasanuddin,Fisika,S2,PTN,2629/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Institut Agama Islam Negeri Pekalongan,Tadris Bahasa Inggris,S1,PTAN,2632/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Sekolah Tinggi Ilmu Ekonomi Jambi,Manajemen,S1,10,2628/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Universitas Bina Nusantara,Destinasi Pariwisata,S1,03,2631/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Universitas Katolik Indonesia Atma Jaya,Ekonomi Pembangunan,S1,03,2627/SK/BAN-PT/Akred/S/VII/2019,2019,A,2024-07-24,118 hari lagi kadaluarsa
Universitas Pesantren Tinggi Darul  Ulum,Manajemen Pendidikan Islam,S2,07,2633/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
STAI Al-Azhar Menganti Gresik,Ekonomi Syari'ah,S1,PTAS,2630/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Institut Pertanian Bogor,Akuntansi,D-III,PTN,2639/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Institut Agama Islam Negeri Kediri,Ekonomi Syariah,S1,PTAN,2640/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Mamuju,Manajemen,S1,09,2642/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,Hukum Ekonomi Syari`ah (Mu`amalah),S1,PTAS,2643/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
Akademi Teknik Dan Keselamatan Penerbangan Medan,Teknik Telekomunikasi Dan Navigasi Udara,D-III,PTKL,4808/SK/BAN-PT/Akred/Dipl-III/XII/2019,2019,B,2024-12-17,Masih berlaku
Universitas Gadjah Mada,Profesi Akuntan,Profesi,PTN,2625/SK/BAN-PT/Akred/PP/VII/2019,2019,A,2024-07-23,117 hari lagi kadaluarsa
Universitas Hasanuddin,Biologi,S2,PTN,2563/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
Universitas Kristen Indonesia Maluku,Ilmu Kesejahteraan Sosial,S1,12,2540/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
Politeknik Caltex,Teknik Mesin,D-IV,10,2568/SK/BAN-PT/Akred/ST/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
Universitas Bengkulu,Statistika,S1,PTN,2557/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
