University,Presentase A,Presentase B,Presentase C,Perc. Tidak Akr,Akreditasi Kampus,Jumlah Prodi,Jumlah A,Jumlah B,Jumlah C,Tidak Terakreditasi,Poin
IAIN Ambon,0.103448276,0.344827586,0.551724138,0,3,29,3,10,16,0,74
IAIN Bone,0.058823529,0.470588235,0.470588235,0,3,17,1,8,8,0,44
IAIN Curup,0.12,0.36,0.52,0,3,25,3,9,13,0,65
IAIN Fattahul Muluk Papua,0,0.692307692,0.307692308,0,3,13,0,9,4,0,35
IAIN Kediri,0.058823529,0.5,0.441176471,0,3,34,2,17,15,0,89
IAIN Kendari,0.043478261,0.739130435,0.217391304,0,3,23,1,17,5,0,65
IAIN Kerinci,0,0.44,0.56,0,3,25,0,11,14,0,61
IAIN Kudus,0.15625,0.375,0.46875,0,3,32,5,12,15,0,86
IAIN Langsa,0,0.791666667,0.208333333,0,3,24,0,19,5,0,67
IAIN Lhokseumawe,0.136363636,0.545454545,0.318181818,0,3,22,3,12,7,0,62
IAIN Madura,0.130434783,0.652173913,0.217391304,0,3,23,3,15,5,0,67
IAIN Manado,0.263157895,0.684210526,0.052631579,0,3,19,5,13,1,0,61
IAIN Metro,0.083333333,0.416666667,0.5,0,3,24,2,10,12,0,62
IAIN Palangkaraya,0.125,0.708333333,0.166666667,0,3,24,3,17,4,0,71
IAIN Palopo,0.130434783,0.565217391,0.304347826,0,3,23,3,13,7,0,65
IAIN Pare-Pare,0.060606061,0.242424242,0.696969697,0,3,33,2,8,23,0,78
IAIN Ponorogo,0.230769231,0.538461538,0.230769231,0,3,26,6,14,6,0,78
IAIN Pontianak,0.1,0.6,0.3,0,3,20,2,12,6,0,56
IAIN Sorong,0,0.5,0.5,0,3,10,0,5,5,0,25
IAIN Sultan Amai Gorontalo,0.038461538,0.576923077,0.384615385,0,3,26,1,15,10,0,69
IAIN Syaikh Abdurrahman Siddik Bangka Belitung,0,0.375,0.625,0,2,16,0,6,10,0,38
IAIN Syekh Nurjati Cirebon,0.189189189,0.459459459,0.351351351,0,3,37,7,17,13,0,105
IAIN Takengon,0,0.5,0.5,0,2,18,0,9,9,0,45
IAIN Ternate,0.045454545,0.181818182,0.772727273,0,3,22,1,4,17,0,50
STAIN Bengkalis,0,0.285714286,0.714285714,0,2,14,0,4,10,0,32
STAIN Majene,0,0.090909091,0.909090909,0,2,11,0,1,10,0,23
STAIN Mandailing Natal,0,0.0625,0.9375,0,1,16,0,1,15,0,33
STAIN Sultan Abdurrahman Kepulauan Riau,0,0.181818182,0.818181818,0,2,11,0,2,9,0,24
STAIN Tengku Dirundeng Meulaboh,0,0.666666667,0.333333333,0,3,12,0,8,4,0,32
UIN Alauddin Makassar,0.328125,0.5625,0.109375,0,4,64,21,36,7,0,206
UIN Antasari Banjarmasin,0.081081081,0.72972973,0.189189189,0,3,37,3,27,7,0,107
UIN Ar-Raniry Banda Aceh,0.37037037,0.537037037,0.092592593,0,3,54,20,29,5,0,177
UIN Datokarama Palu,0.060606061,0.363636364,0.575757576,0,1,33,2,12,19,0,82
UIN Fatmawati Sukarno Bengkulu,0.138888889,0.694444444,0.166666667,0,3,36,5,25,6,0,107
UIN Imam Bonjol Padang,0.142857143,0.642857143,0.214285714,0,3,42,6,27,9,0,123
UIN K.H. Abdurrahman Wahid Pekalongan,0.32,0.48,0.2,0,3,25,8,12,5,0,78
UIN Kiai Haji Achmad Siddiq Jember,0.263157895,0.552631579,0.184210526,0,3,38,10,21,7,0,117
UIN Mahmud Yunus Batusangkar,0.25,0.472222222,0.277777778,0,3,36,9,17,10,0,107
UIN Mataram,0.205882353,0.558823529,0.235294118,0,3,34,7,19,8,0,101
UIN Maulana Malik Ibrahim Malang,0.375,0.4375,0.1875,0,4,48,18,21,9,0,153
UIN Profesor Kiai Haji Saifuddin Zuhri Purwokerto,0.470588235,0.382352941,0.147058824,0,3,34,16,13,5,0,113
UIN Raden Fatah Palembang,0.586956522,0.369565217,0.043478261,0,3,46,27,17,2,0,163
UIN Raden Intan Lampung,0.333333333,0.523809524,0.142857143,0,3,42,14,22,6,0,134
UIN Raden Mas Said Surakarta ,0.432432432,0.297297297,0.27027027,0,3,37,16,11,10,0,117
UIN Salatiga,0.285714286,0.485714286,0.228571429,0,3,35,10,17,8,0,107
UIN Sayyid Ali Rahmatullah Tulungagung,0.183673469,0.448979592,0.367346939,0,3,49,9,22,18,0,138
UIN Sjech M. Djamil Djambek Bukittinggi,0.117647059,0.617647059,0.264705882,0,3,34,4,21,9,0,97
UIN Sultan Aji Muhammad Idris Samarinda,0.142857143,0.607142857,0.25,0,3,28,4,17,7,0,81
UIN Sultan Maulana Hasanuddin Banten,0.142857143,0.6,0.257142857,0,3,35,5,21,9,0,101
UIN Sultan Syarif Kasim Riau,0.375,0.428571429,0.196428571,0,3,56,21,24,11,0,178
UIN Sultan Thaha Saifuddin Jambi,0.142857143,0.428571429,0.428571429,0,3,42,6,18,18,0,114
UIN Sumatera Utara Medan,0.14516129,0.709677419,0.129032258,0.016129032,3,62,9,44,8,1,185
UIN Sunan Ampel Surabaya,0.393442623,0.508196721,0.098360656,0,4,61,24,31,6,0,201
UIN Sunan Gunung Djati Bandung,0.46969697,0.409090909,0.121212121,0,4,66,31,27,8,0,221
UIN Sunan Kalijaga Yogyakarta,0.71641791,0.164179104,0.119402985,0,4,67,48,11,8,0,241
UIN Syarif Hidayatullah Jakarta,0.62195122,0.317073171,0.06097561,0,4,82,51,26,5,0,292
UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan,0.064516129,0.483870968,0.419354839,0.032258065,1,31,2,15,13,1,80
UIN Walisongo Semarang,0.58,0.3,0.12,0,4,50,29,15,6,0,173
