University,Program,Degree,Type,Accreditation,Year,Grade,Expiration Date,Status
IAIN Pekalongan,Tadris Bahasa Inggris,S1,PTAN,2632/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
IAIN Kediri,Ekonomi Syariah,S1,PTAN,2640/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
IAIN Bengkulu,Manajemen Dakwah,S1,PTAN,2544/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
IAIN Bengkulu,Ilmu Pendidikan Anak Usia Dini Islam,S2,PTAN,2619/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
IAIN Sultan Amai Gorontalo,Perbankan Syari'ah,S1,PTAN,2573/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
UIN Syarif Hidayatullah,Dirasat Islamiyah(Berbasis Bahasa Arab Dan Tahfidz Al-Quran),S2,PTAN,2528/SK/BAN-PT/Akred/M/VII/2019,2019,A,2024-07-23,117 hari lagi kadaluarsa
IAIN Bengkulu,Tadris Matematika,S1,PTAN,2513/SK/BAN-PT/Akred/S/VII/2019,2019,C,2024-07-17,111 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Pendidikan Bahasa Inggris,S1,PTAN,2499/SK/BAN-PT/Akred/S/VII/2019,2019,A,2024-07-17,111 hari lagi kadaluarsa
IAIN Purwokerto,Studi Agama-Agama,S1,PTAN,2408/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
IAIN Bukittinggi,Manajemen Bisnis Syariah,S1,PTAN,2433/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
UIN Raden Fatah Palembang,Manajemen Dakwah,S1,PTAN,2413/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
IAIN Bengkulu,Tadris IPA,S1,PTAN,2461/SK/BAN-PT/Akred/S/VII/2019,2019,C,2024-07-16,110 hari lagi kadaluarsa
IAIN Bengkulu,Tadris Bahasa Indonesia,S1,PTAN,2450/SK/BAN-PT/Akred/S/VII/2019,2019,C,2024-07-16,110 hari lagi kadaluarsa
IAIN Bengkulu,Tadris IPS,S1,PTAN,2437/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
